Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,959798900,IDLE
10,1246835000,IDLE
15,1162294400,IDLE
20,1201994800,IDLE
25,1220179500,IDLE
30,1150761200,IDLE
35,1206318000,IDLE
40,1757733200,IDLE
45,1551916100,REQUEST
50,1456141500,IDLE
55,1204804800,IDLE
60,1192605600,IDLE
65,1200993500,IDLE
70,1259556800,IDLE
75,1109050200,IDLE
80,1214038600,IDLE
85,1108425100,IDLE
90,1200297300,IDLE
95,1280269000,IDLE
100,1364865000,IDLE
105,1279341000,IDLE
110,1322252900,IDLE
115,1178155100,IDLE
120,1292942100,IDLE
125,1146152400,IDLE
130,1192402500,IDLE
135,1208068100,IDLE
140,1183888400,IDLE
145,1201156300,IDLE
150,1323227800,IDLE
155,1174912200,IDLE
160,1255025100,IDLE
165,1166203900,IDLE
170,1238941300,IDLE
175,1223442700,IDLE
180,1201122300,IDLE
185,1174807200,IDLE
190,1207580300,IDLE
195,1223278800,IDLE
200,1259965900,IDLE
205,1212701100,IDLE
210,1170443200,IDLE
215,1330025000,IDLE
220,1265425700,IDLE
225,1239356500,IDLE
230,1170387700,IDLE
235,1229939100,IDLE
240,1161011700,IDLE
245,1215179900,IDLE
250,1217501300,IDLE
