Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1172288900,IDLE
10,1175176300,IDLE
15,1126371700,IDLE
20,1271711800,IDLE
25,1263386800,IDLE
30,1281788600,IDLE
35,1278135100,REQUEST
40,1583754200,IDLE
45,1591227300,IDLE
50,1547284600,IDLE
55,1210073600,IDLE
60,1410232300,IDLE
65,1311392200,IDLE
70,1174421100,IDLE
75,1081333400,IDLE
80,1282183500,IDLE
85,1264224900,IDLE
90,1145934700,IDLE
95,1299444300,IDLE
100,1318913900,IDLE
105,1283260500,IDLE
110,1241993400,IDLE
115,1107281800,IDLE
120,1300859700,IDLE
125,1194420300,IDLE
130,1186241100,IDLE
135,1162280500,IDLE
140,1254506500,IDLE
145,1215322500,IDLE
150,1190286000,IDLE
155,1152256300,IDLE
160,1255958000,IDLE
165,1234693800,IDLE
170,1257720700,IDLE
175,1167314600,IDLE
180,1192471600,IDLE
185,1173511400,IDLE
190,1285860500,IDLE
195,1146824700,IDLE
200,1135745800,IDLE
205,1171421800,IDLE
210,1207124800,IDLE
215,1160716300,IDLE
220,1158104400,IDLE
225,1300739000,IDLE
230,1138094900,IDLE
235,1239685300,IDLE
240,1200443900,IDLE
245,1270842200,IDLE
250,1142991700,IDLE
