Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1147046900,IDLE
10,1214315800,IDLE
15,1276933100,IDLE
20,1177406900,IDLE
25,1198542500,IDLE
30,1273488400,IDLE
35,1296799200,REQUEST
40,1533453900,IDLE
45,1553233700,IDLE
50,1415867200,IDLE
55,1148875800,IDLE
60,1224270300,IDLE
65,1193246900,IDLE
70,1331718700,IDLE
75,1168664400,IDLE
80,1192026300,IDLE
85,1174802500,IDLE
90,1253283100,IDLE
95,1189155400,IDLE
100,1193247600,IDLE
105,1175047900,IDLE
110,1239313500,IDLE
115,1142705000,IDLE
120,1208023800,IDLE
125,1129290600,IDLE
130,1238196200,IDLE
135,1226795600,IDLE
140,1207815900,IDLE
145,1408504100,IDLE
150,1220200000,IDLE
155,1358072700,IDLE
160,1607747600,IDLE
165,1294943100,IDLE
170,1265251200,IDLE
175,1256253400,IDLE
180,1189800000,IDLE
185,1348263600,IDLE
190,1288660700,IDLE
195,1205242400,IDLE
200,1130234700,IDLE
205,1153875600,IDLE
210,1440910700,IDLE
215,1434923600,IDLE
220,1381954000,IDLE
225,1411884400,IDLE
230,1319952700,IDLE
235,1275489300,IDLE
240,1223204900,IDLE
245,1213567000,IDLE
250,1239938000,IDLE
