Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1295969600,IDLE
10,1233718500,IDLE
15,1183743600,IDLE
20,1182901900,IDLE
25,1199546000,IDLE
30,1175154400,IDLE
35,1443150000,IDLE
40,1505419900,REQUEST
45,1648160200,REQUEST
50,1399637400,IDLE
55,1400416000,IDLE
60,1238826700,IDLE
65,1220757800,IDLE
70,1236084500,IDLE
75,1208341600,IDLE
80,1235262300,IDLE
85,1255219200,IDLE
90,1214448200,IDLE
95,1203006700,IDLE
100,1236744100,IDLE
105,1250502400,IDLE
110,1286850300,IDLE
115,1206049100,IDLE
120,1284315700,IDLE
125,1424757600,IDLE
130,1254674400,IDLE
135,1299580800,IDLE
140,1362851100,IDLE
145,1364930300,IDLE
150,1341432500,IDLE
155,1280298100,IDLE
160,1198555600,IDLE
165,1161507200,IDLE
170,1221327400,IDLE
175,1155576400,IDLE
180,1239310100,IDLE
185,1319177000,IDLE
190,1300829400,IDLE
195,1158503200,IDLE
200,1252065700,IDLE
205,1156713200,IDLE
210,1223452000,IDLE
215,1261982700,IDLE
220,1269620500,IDLE
225,1381237400,IDLE
230,2061509100,IDLE
235,2309277400,IDLE
240,1554339800,IDLE
245,1486539800,IDLE
250,919130700,IDLE
