Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1292618400,IDLE
10,1255532500,IDLE
15,1309415400,IDLE
20,1251109000,IDLE
25,1348208700,IDLE
30,1311356400,IDLE
35,1392838600,REQUEST
40,1657142800,IDLE
45,1605967200,IDLE
50,1404766500,IDLE
55,1270604100,IDLE
60,1161255000,IDLE
65,1205636800,IDLE
70,1222442300,IDLE
75,1128747200,IDLE
80,1237975800,IDLE
85,1178017600,IDLE
90,1193594300,IDLE
95,1276660600,IDLE
100,1215068900,IDLE
105,1324256200,IDLE
110,1277356500,IDLE
115,1218701900,IDLE
120,1342999600,IDLE
125,1301820200,IDLE
130,1285449700,IDLE
135,1441212700,IDLE
140,1347571100,IDLE
145,1244387800,IDLE
150,1219780600,IDLE
155,1216028700,IDLE
160,1254521400,IDLE
165,1284288500,IDLE
170,1456473600,IDLE
175,1230785800,IDLE
180,1112044200,IDLE
185,1175656500,IDLE
190,1251352900,IDLE
195,1194166500,IDLE
200,1359800900,IDLE
205,1205956300,IDLE
210,1125607800,IDLE
215,1282971100,IDLE
220,1267154200,IDLE
225,1317808300,IDLE
230,1265436200,IDLE
235,1367577700,IDLE
240,1221918100,IDLE
245,1232223500,IDLE
250,1244120700,IDLE
