Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1328952600,IDLE
10,1258240100,IDLE
15,1214133100,IDLE
20,1318084400,IDLE
25,1299497700,IDLE
30,1228775700,IDLE
35,1341823300,IDLE
40,1516104800,REQUEST
45,1342651500,REQUEST
50,1454116300,IDLE
55,1231850400,IDLE
60,1236474200,IDLE
65,1242222800,IDLE
70,1271022600,IDLE
75,1223892100,IDLE
80,1204056300,IDLE
85,1208197600,IDLE
90,1234492900,IDLE
95,1254930500,IDLE
100,1267753500,IDLE
105,1311858400,IDLE
110,1298789900,IDLE
115,1270772000,IDLE
120,1283446700,IDLE
125,1405362200,IDLE
130,1255305400,IDLE
135,1426759500,IDLE
140,1328641400,IDLE
145,1220534400,IDLE
150,1282223900,IDLE
155,1266874600,IDLE
160,1207871600,IDLE
165,1171404300,IDLE
170,1259689500,IDLE
175,1332474000,IDLE
180,1277228000,IDLE
185,1185353300,IDLE
190,1161456000,IDLE
195,1187144100,IDLE
200,1113823000,IDLE
205,1190612000,IDLE
210,1217744600,IDLE
215,1255963300,IDLE
220,1240461800,IDLE
225,1190661900,IDLE
230,1208213000,IDLE
235,1189054400,IDLE
240,1178935400,IDLE
245,1208745400,IDLE
250,1297014500,IDLE
