Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1364437700,IDLE
10,1174987700,IDLE
15,1145165100,IDLE
20,1104293700,IDLE
25,1173871700,IDLE
30,1206748300,IDLE
35,1246818200,IDLE
40,1503723600,REQUEST
45,1767133600,REQUEST
50,1058103400,IDLE
55,1173211700,IDLE
60,1161515100,IDLE
65,1172683000,IDLE
70,1245948800,IDLE
75,1237327600,IDLE
80,1225658000,IDLE
85,1224281300,IDLE
90,1235154700,IDLE
95,1273128800,IDLE
100,1182295400,IDLE
105,1192183900,IDLE
110,1139096000,IDLE
115,1135221800,IDLE
120,1187607200,IDLE
125,1215761700,IDLE
130,1213882100,IDLE
135,1180817500,IDLE
140,1199619600,IDLE
145,1344251600,IDLE
150,1223015600,IDLE
155,1272270600,IDLE
160,1920479800,IDLE
165,1234306300,IDLE
170,1402332400,IDLE
175,1445330700,IDLE
180,1278942400,IDLE
185,1386343000,IDLE
190,1238573700,IDLE
195,1185667900,IDLE
200,1134934200,IDLE
205,1129263700,IDLE
210,1377326800,IDLE
215,1474649900,IDLE
220,1474435900,IDLE
225,1319602500,IDLE
230,1235937000,IDLE
235,1223337800,IDLE
240,1229190000,IDLE
245,1341388000,IDLE
250,1185540700,IDLE
