Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1380265900,IDLE
10,1290786100,IDLE
15,1300746900,IDLE
20,1225708300,IDLE
25,1239037200,IDLE
30,1181105900,IDLE
35,1530503200,IDLE
40,1489045900,REQUEST
45,1899630000,REQUEST
50,1254474600,IDLE
55,1282077200,IDLE
60,1208233700,IDLE
65,1282438000,IDLE
70,1209131600,IDLE
75,1284357400,IDLE
80,1204132600,IDLE
85,1207878400,IDLE
90,1257483800,IDLE
95,1265357200,IDLE
100,1266278800,IDLE
105,1224518100,IDLE
110,1323650300,IDLE
115,1378394100,IDLE
120,1207865000,IDLE
125,1265314300,IDLE
130,1223540500,IDLE
135,1341474000,IDLE
140,1254255000,IDLE
145,1267931900,IDLE
150,1277132500,IDLE
155,1255219900,IDLE
160,1231948000,IDLE
165,1200827400,IDLE
170,1378745300,IDLE
175,1285448100,IDLE
180,1213955400,IDLE
185,1254487300,IDLE
190,1224213100,IDLE
195,1209500500,IDLE
200,1275490000,IDLE
205,1234375400,IDLE
210,1161251500,IDLE
215,1231550200,IDLE
220,1221050700,IDLE
225,1211401700,IDLE
230,1274819600,IDLE
235,1281569100,IDLE
240,1203937300,IDLE
245,1342779300,IDLE
250,1110725900,IDLE
