Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1202303700,IDLE
10,1251798600,IDLE
15,1154024000,IDLE
20,1173925700,IDLE
25,1146530700,IDLE
30,1201838400,IDLE
35,1260940300,REQUEST
40,1493998300,REQUEST
45,1328413000,IDLE
50,1606868000,IDLE
55,1210037100,IDLE
60,1216155400,IDLE
65,1232524300,IDLE
70,1212189500,IDLE
75,1169749400,IDLE
80,1152418800,IDLE
85,1254529700,IDLE
90,1215593900,IDLE
95,1221366000,IDLE
100,1258643500,IDLE
105,1161261300,IDLE
110,1194859900,IDLE
115,1285481400,IDLE
120,1300300900,IDLE
125,1301649400,IDLE
130,1334975300,IDLE
135,1390981400,IDLE
140,1236226400,IDLE
145,1327798600,IDLE
150,1336739100,IDLE
155,1240221600,IDLE
160,1347202000,IDLE
165,1218462900,IDLE
170,1208131800,IDLE
175,1238409200,IDLE
180,1239347400,IDLE
185,1233110700,IDLE
190,1196697200,IDLE
195,1280256000,IDLE
200,1269327900,IDLE
205,1307643400,IDLE
210,1293336400,IDLE
215,1298790400,IDLE
220,1299728000,IDLE
225,1246824600,IDLE
230,1406926700,IDLE
235,1704398300,IDLE
240,2039693200,IDLE
245,1536754900,IDLE
250,1582163300,IDLE
