Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1132164800,IDLE
10,1207101900,IDLE
15,1316435800,IDLE
20,1300666000,IDLE
25,1201571800,IDLE
30,1245026100,IDLE
35,1394542700,IDLE
40,1577944900,REQUEST
45,1521483000,REQUEST
50,1487721900,IDLE
55,1193703700,IDLE
60,1231529900,IDLE
65,1139424600,IDLE
70,1220906100,IDLE
75,1166393000,IDLE
80,1180330100,IDLE
85,1232824400,IDLE
90,1111833500,IDLE
95,1271656500,IDLE
100,1240984900,IDLE
105,1246720800,IDLE
110,1258262400,IDLE
115,1105204000,IDLE
120,1268276500,IDLE
125,1238570900,IDLE
130,1168751700,IDLE
135,1316704600,IDLE
140,1301791100,IDLE
145,1121370200,IDLE
150,1238475300,IDLE
155,1223598500,IDLE
160,1301309300,IDLE
165,1179592900,IDLE
170,1272223000,IDLE
175,1184734300,IDLE
180,1207896300,IDLE
185,1177783200,IDLE
190,1186483200,IDLE
195,1161046200,IDLE
200,1236526000,IDLE
205,1129503000,IDLE
210,1092442500,IDLE
215,1234976500,IDLE
220,1205418500,IDLE
225,1324919100,IDLE
230,1205030500,IDLE
235,1222004600,IDLE
240,1235074200,IDLE
245,1140748500,IDLE
250,1206089400,IDLE
