Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1226963900,IDLE
10,1140970200,IDLE
15,1224375000,IDLE
20,1266757200,IDLE
25,1160400200,IDLE
30,1155272000,IDLE
35,1292792200,IDLE
40,1563120900,REQUEST
45,1475299900,REQUEST
50,1412272400,IDLE
55,1197050200,IDLE
60,1110376600,IDLE
65,1251707500,IDLE
70,1274162900,IDLE
75,1107875500,IDLE
80,1180661500,IDLE
85,1269128200,IDLE
90,1174606300,IDLE
95,1224290200,IDLE
100,1332754900,IDLE
105,1184213900,IDLE
110,1136700100,IDLE
115,1254318700,IDLE
120,1265841900,IDLE
125,1145809600,IDLE
130,1145734300,IDLE
135,1186875900,IDLE
140,1207457500,IDLE
145,1135371800,IDLE
150,1223235300,IDLE
155,1204778600,IDLE
160,1222158000,IDLE
165,1240890900,IDLE
170,1185557400,IDLE
175,1169131300,IDLE
180,1096612200,IDLE
185,1227861600,IDLE
190,1205055700,IDLE
195,1198585100,IDLE
200,1172942800,IDLE
205,1281899100,IDLE
210,1192611200,IDLE
215,1206275900,IDLE
220,1192586200,IDLE
225,1187156200,IDLE
230,1201997500,IDLE
235,1258064500,IDLE
240,1208794400,IDLE
245,1202883400,IDLE
250,1169498800,IDLE
