Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1338478200,IDLE
10,1387000600,IDLE
15,1233492600,IDLE
20,1183706600,IDLE
25,1269790000,IDLE
30,1221879000,IDLE
35,1616967800,REQUEST
40,1406464600,IDLE
45,1585903900,IDLE
50,1368909300,IDLE
55,1265926800,IDLE
60,1268700900,IDLE
65,1313266200,IDLE
70,1177010700,IDLE
75,1247389300,IDLE
80,1177622600,IDLE
85,1326485900,IDLE
90,1184953900,IDLE
95,1266641700,IDLE
100,1269779300,IDLE
105,1230803000,IDLE
110,1180048600,IDLE
115,1345670800,IDLE
120,1311600900,IDLE
125,1261819400,IDLE
130,1294443100,IDLE
135,1216713000,IDLE
140,1172009800,IDLE
145,1262435000,IDLE
150,1264814800,IDLE
155,1207548100,IDLE
160,1181327400,IDLE
165,1487925900,IDLE
170,1347491000,IDLE
175,1294147100,IDLE
180,1236598600,IDLE
185,1279741300,IDLE
190,1201877000,IDLE
195,1143517100,IDLE
200,1285481400,IDLE
205,1298309800,IDLE
210,1331798200,IDLE
215,1116005500,IDLE
220,1236066100,IDLE
225,1235297000,IDLE
230,1352167400,IDLE
235,1217468200,IDLE
240,1145195600,IDLE
245,1223997100,IDLE
250,968763500,IDLE
