Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1208336900,IDLE
10,1301012800,IDLE
15,1286801700,IDLE
20,1241972700,IDLE
25,1223437300,IDLE
30,1294415000,IDLE
35,1332237100,IDLE
40,1519405000,IDLE
45,1391415400,REQUEST
50,1762664200,IDLE
55,1250157000,IDLE
60,1269955600,IDLE
65,1206688900,IDLE
70,1171008300,IDLE
75,1176316200,IDLE
80,1239814200,IDLE
85,1286658500,IDLE
90,1204059600,IDLE
95,1170232100,IDLE
100,1347607800,IDLE
105,1333905300,IDLE
110,1283570500,IDLE
115,1205403300,IDLE
120,1332036700,IDLE
125,1298050900,IDLE
130,1291055100,IDLE
135,1255335200,IDLE
140,1332952100,IDLE
145,1330105400,IDLE
150,1301903700,IDLE
155,1317374800,IDLE
160,1192407900,IDLE
165,1248377900,IDLE
170,1290370800,IDLE
175,1245403300,IDLE
180,1395071600,IDLE
185,1238336400,IDLE
190,1268888300,IDLE
195,1267003900,IDLE
200,1146003100,IDLE
205,1201844900,IDLE
210,1306379300,IDLE
215,1298652300,IDLE
220,1192792600,IDLE
225,1328603000,IDLE
230,1259283400,IDLE
235,1734936600,IDLE
240,1582127500,IDLE
245,1821718600,IDLE
250,1244344900,IDLE
