Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1152946300,IDLE
10,1174096600,IDLE
15,1192581700,IDLE
20,1186459700,IDLE
25,1261166100,IDLE
30,1161778500,IDLE
35,1378274700,REQUEST
40,1641563700,IDLE
45,1858018300,IDLE
50,1057431000,IDLE
55,1282367700,IDLE
60,1316065500,IDLE
65,1294331100,IDLE
70,1173325500,IDLE
75,1222544700,IDLE
80,1266354800,IDLE
85,1270099700,IDLE
90,1261577300,IDLE
95,1189712300,IDLE
100,1159371000,IDLE
105,1271348600,IDLE
110,1156271400,IDLE
115,1277142900,IDLE
120,1255396900,IDLE
125,1191380400,IDLE
130,1319758700,IDLE
135,1192388300,IDLE
140,1281997600,IDLE
145,1256485400,IDLE
150,1239785500,IDLE
155,1351939600,IDLE
160,1417177700,IDLE
165,1254601400,IDLE
170,1425374100,IDLE
175,1351955500,IDLE
180,1237448100,IDLE
185,1410122800,IDLE
190,1183142800,IDLE
195,1293286200,IDLE
200,1258333500,IDLE
205,1471498300,IDLE
210,1471740900,IDLE
215,1380238500,IDLE
220,1446591800,IDLE
225,1347319900,IDLE
230,1316343700,IDLE
235,1207419500,IDLE
240,1235266800,IDLE
245,1307994400,IDLE
250,914917800,IDLE
