Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1054741100,IDLE
10,1292805000,IDLE
15,1224116800,IDLE
20,1268948600,IDLE
25,1249021400,IDLE
30,1219300800,IDLE
35,1317477300,IDLE
40,1525336800,REQUEST
45,1624038900,REQUEST
50,1491172500,IDLE
55,1172501800,IDLE
60,1198337200,IDLE
65,1182755100,IDLE
70,1138389500,IDLE
75,1208803000,IDLE
80,1242655100,IDLE
85,1166580200,IDLE
90,1109126100,IDLE
95,1252971400,IDLE
100,1348262400,IDLE
105,1282373400,IDLE
110,1171683000,IDLE
115,1247456400,IDLE
120,1215842000,IDLE
125,1178893100,IDLE
130,1235632000,IDLE
135,1167817800,IDLE
140,1264040600,IDLE
145,1231885300,IDLE
150,1231751000,IDLE
155,1191122700,IDLE
160,1302167400,IDLE
165,1145558100,IDLE
170,1240374000,IDLE
175,1226523200,IDLE
180,1198403300,IDLE
185,1311820300,IDLE
190,1110643300,IDLE
195,1255232800,IDLE
200,1193313000,IDLE
205,1192394400,IDLE
210,1213719000,IDLE
215,1355289700,IDLE
220,1229600500,IDLE
225,1186287100,IDLE
230,1187121200,IDLE
235,1254618600,IDLE
240,1120603700,IDLE
245,1176918100,IDLE
250,1235589100,IDLE
