Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1090801100,IDLE
10,1176345300,IDLE
15,1229733500,IDLE
20,1245799000,IDLE
25,1293295000,IDLE
30,1137219800,IDLE
35,1203075500,REQUEST
40,1747029800,IDLE
45,1545852000,IDLE
50,1423559500,IDLE
55,1301521600,IDLE
60,1190381800,IDLE
65,1115100200,IDLE
70,1219118100,IDLE
75,1238993700,IDLE
80,1188445600,IDLE
85,1215192900,IDLE
90,1118509400,IDLE
95,1307923300,IDLE
100,1275048600,IDLE
105,1254037900,IDLE
110,1213416600,IDLE
115,1295551000,IDLE
120,1206909700,IDLE
125,1230576100,IDLE
130,1123141300,IDLE
135,1229994600,IDLE
140,1216029400,IDLE
145,1122474900,IDLE
150,1288033700,IDLE
155,1213878200,IDLE
160,1269276500,IDLE
165,1207805200,IDLE
170,1231446900,IDLE
175,1126663200,IDLE
180,1197203400,IDLE
185,1214235300,IDLE
190,1152590200,IDLE
195,1153114300,IDLE
200,1081222200,IDLE
205,1264666300,IDLE
210,1228321700,IDLE
215,1275759300,IDLE
220,1172033800,IDLE
225,1256460400,IDLE
230,1207570200,IDLE
235,1239646200,IDLE
240,1176732800,IDLE
245,1202949800,IDLE
250,1236268600,IDLE
