Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1141207700,IDLE
10,1227243100,IDLE
15,1150140200,IDLE
20,1176290400,IDLE
25,1222192200,IDLE
30,1246007600,IDLE
35,1254583200,IDLE
40,1842608000,REQUEST
45,1502779200,REQUEST
50,1456014000,IDLE
55,1147008700,IDLE
60,1172232500,IDLE
65,1177762200,IDLE
70,1109527200,IDLE
75,1211403300,IDLE
80,1270023500,IDLE
85,1177771900,IDLE
90,1219005500,IDLE
95,1196157900,IDLE
100,1131859100,IDLE
105,1248825500,IDLE
110,1250402200,IDLE
115,1180037500,IDLE
120,1223179100,IDLE
125,1199687300,IDLE
130,1196652600,IDLE
135,1193304500,IDLE
140,1165209700,IDLE
145,1269793400,IDLE
150,1221197900,IDLE
155,1130396100,IDLE
160,1299907600,IDLE
165,1270026700,IDLE
170,1151785200,IDLE
175,1436146300,IDLE
180,1253110000,IDLE
185,1316556700,IDLE
190,1249129200,IDLE
195,1318622000,IDLE
200,1243468800,IDLE
205,1166159900,IDLE
210,1360897300,IDLE
215,1426480800,IDLE
220,1417442800,IDLE
225,1461500800,IDLE
230,1393572700,IDLE
235,1360865800,IDLE
240,1208125300,IDLE
245,1258704100,IDLE
250,1233902400,IDLE
