Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1112325200,IDLE
10,1196315100,IDLE
15,1169672900,IDLE
20,1201641800,IDLE
25,1190278200,IDLE
30,1194070200,IDLE
35,1159864600,IDLE
40,1513684900,IDLE
45,1534271500,REQUEST
50,1666582600,IDLE
55,1145302400,IDLE
60,1223548900,IDLE
65,1247554900,IDLE
70,1166934800,IDLE
75,1172596500,IDLE
80,1250447300,IDLE
85,1213765300,IDLE
90,1270789000,IDLE
95,1379220700,IDLE
100,1155335400,IDLE
105,1297781400,IDLE
110,1209362900,IDLE
115,1229695500,IDLE
120,1235361100,IDLE
125,1254256600,IDLE
130,1202289700,IDLE
135,1183422500,IDLE
140,1240418400,IDLE
145,1169022000,IDLE
150,1194855000,IDLE
155,1349820400,IDLE
160,1183235700,IDLE
165,1198002800,IDLE
170,1130519700,IDLE
175,1216044800,IDLE
180,1180620400,IDLE
185,1248324700,IDLE
190,1230342900,IDLE
195,1270083800,IDLE
200,1150727500,IDLE
205,1199415700,IDLE
210,1262300800,IDLE
215,1293579500,IDLE
220,1201917400,IDLE
225,1213458200,IDLE
230,1155462800,IDLE
235,1184168200,IDLE
240,1215731800,IDLE
245,1123763300,IDLE
250,1136624300,IDLE
