Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1198814200,IDLE
10,1136004100,IDLE
15,1191773600,IDLE
20,1218751300,IDLE
25,1278438000,IDLE
30,1168452000,IDLE
35,1034945400,REQUEST
40,1747853300,IDLE
45,1683271600,IDLE
50,1398522500,IDLE
55,1249414800,IDLE
60,1212800100,IDLE
65,1124221900,IDLE
70,1221041300,IDLE
75,1160966200,IDLE
80,1197668900,IDLE
85,1238499400,IDLE
90,1197664300,IDLE
95,1212631600,IDLE
100,1375572900,IDLE
105,1216388200,IDLE
110,1155593800,IDLE
115,1114950900,IDLE
120,1240717200,IDLE
125,1164581600,IDLE
130,1172865100,IDLE
135,1230913500,IDLE
140,1173386400,IDLE
145,1203625100,IDLE
150,1290768100,IDLE
155,1115451500,IDLE
160,1258005600,IDLE
165,1286655700,IDLE
170,1214419000,IDLE
175,1196522400,IDLE
180,1197042000,IDLE
185,1172046700,IDLE
190,1222956700,IDLE
195,1199413200,IDLE
200,1229352900,IDLE
205,1256601100,IDLE
210,1207603300,IDLE
215,1290785800,IDLE
220,1240356700,IDLE
225,1307027300,IDLE
230,1186239900,IDLE
235,1232090100,IDLE
240,1212710500,IDLE
245,1260295100,IDLE
250,1099488700,IDLE
