Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1084722100,IDLE
10,1254398300,IDLE
15,1307272800,IDLE
20,1166777900,IDLE
25,1203712600,IDLE
30,1199323100,IDLE
35,1284670600,IDLE
40,1426401700,REQUEST
45,1600991700,REQUEST
50,1533100500,IDLE
55,1165119900,IDLE
60,1223366000,IDLE
65,1200383100,IDLE
70,1224300600,IDLE
75,1233594300,IDLE
80,1249539600,IDLE
85,1267608500,IDLE
90,1362893900,IDLE
95,1185783900,IDLE
100,1261819300,IDLE
105,1300751300,IDLE
110,1176935700,IDLE
115,1158661300,IDLE
120,1331831500,IDLE
125,1223129300,IDLE
130,1230267500,IDLE
135,1189033200,IDLE
140,1232435500,IDLE
145,1192406400,IDLE
150,1246864800,IDLE
155,1244744300,IDLE
160,1216445900,IDLE
165,1312233100,IDLE
170,1304318000,IDLE
175,1211604700,IDLE
180,1270618400,IDLE
185,1200562200,IDLE
190,1251006300,IDLE
195,1202143500,IDLE
200,1308714600,IDLE
205,1221104700,IDLE
210,1107518000,IDLE
215,1114584200,IDLE
220,1192271900,IDLE
225,1252763200,IDLE
230,1186698100,IDLE
235,1269940900,IDLE
240,1238867600,IDLE
245,1231814000,IDLE
250,1010316900,IDLE
