Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1259268600,IDLE
10,1123325200,IDLE
15,1208693400,IDLE
20,1176635100,IDLE
25,1193831800,IDLE
30,1257813300,IDLE
35,1113458900,REQUEST
40,1619082300,REQUEST
45,1206952300,IDLE
50,1441193600,IDLE
55,1083143400,IDLE
60,1172225000,IDLE
65,1192444300,IDLE
70,1130428000,IDLE
75,1312711400,IDLE
80,1251802100,IDLE
85,1270191600,IDLE
90,1349716700,IDLE
95,1331921500,IDLE
100,1326188800,IDLE
105,1204906000,IDLE
110,1236719300,IDLE
115,1269812200,IDLE
120,1280462800,IDLE
125,1244365000,IDLE
130,1223586600,IDLE
135,1206352800,IDLE
140,1234313200,IDLE
145,1155886400,IDLE
150,1182505400,IDLE
155,1293526600,IDLE
160,1145038600,IDLE
165,1201057500,IDLE
170,1207641200,IDLE
175,1259200500,IDLE
180,1211232800,IDLE
185,1133820100,IDLE
190,1212224400,IDLE
195,1292819800,IDLE
200,1131154500,IDLE
205,1272298200,IDLE
210,1167096500,IDLE
215,1259887500,IDLE
220,1181048900,IDLE
225,1163289300,IDLE
230,1257868800,IDLE
235,1173462100,IDLE
240,1287785000,IDLE
245,1146656700,IDLE
250,1194974100,IDLE
