Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1414351800,IDLE
10,1316011700,IDLE
15,1334644700,IDLE
20,1347593500,IDLE
25,1278032900,IDLE
30,1308071900,REQUEST
35,1523092100,REQUEST
40,1486415800,IDLE
45,1809920200,IDLE
50,1378933200,IDLE
55,1257107800,IDLE
60,1254490900,IDLE
65,1268700200,IDLE
70,1190364600,IDLE
75,1206725600,IDLE
80,1292792000,IDLE
85,1174730900,IDLE
90,1224386800,IDLE
95,1335801500,IDLE
100,1190738400,IDLE
105,1161491600,IDLE
110,1269821500,IDLE
115,1437313100,IDLE
120,1345873600,IDLE
125,1249806000,IDLE
130,1363744100,IDLE
135,1251933800,IDLE
140,1279953700,IDLE
145,1332697700,IDLE
150,1187049200,IDLE
155,1219465300,IDLE
160,1223601000,IDLE
165,1377929900,IDLE
170,1459889500,IDLE
175,1271802400,IDLE
180,1254594100,IDLE
185,1223471200,IDLE
190,1182852300,IDLE
195,1250714000,IDLE
200,1207997700,IDLE
205,1222928800,IDLE
210,1312375300,IDLE
215,1234342800,IDLE
220,1234498100,IDLE
225,1264857700,IDLE
230,1155362900,IDLE
235,1235620500,IDLE
240,1281318800,IDLE
245,1275836800,IDLE
250,1085562800,IDLE
