Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1331006800,IDLE
10,1332731600,IDLE
15,1332804700,IDLE
20,1184643900,IDLE
25,1366804900,IDLE
30,1265696400,IDLE
35,1613742000,IDLE
40,1251121600,REQUEST
45,1549569400,REQUEST
50,1406970000,IDLE
55,1286589300,IDLE
60,1316718000,IDLE
65,1211204100,IDLE
70,1225570000,IDLE
75,1213491000,IDLE
80,1257736900,IDLE
85,1267582300,IDLE
90,1278823200,IDLE
95,1247415700,IDLE
100,1272625900,IDLE
105,1192537100,IDLE
110,1294504700,IDLE
115,1437071100,IDLE
120,1254659200,IDLE
125,1269424200,IDLE
130,1331767900,IDLE
135,1362996300,IDLE
140,1196470100,IDLE
145,1295535300,IDLE
150,1238819200,IDLE
155,1269938400,IDLE
160,1296918400,IDLE
165,1378713900,IDLE
170,1424572900,IDLE
175,1362560600,IDLE
180,1295574300,IDLE
185,1308551700,IDLE
190,1151994400,IDLE
195,1250470700,IDLE
200,1196082500,IDLE
205,1154671500,IDLE
210,1251868500,IDLE
215,1277807500,IDLE
220,1167953700,IDLE
225,1232118000,IDLE
230,1242876100,IDLE
235,1331957500,IDLE
240,1173856400,IDLE
245,1270620700,IDLE
250,1051010600,IDLE
