Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1072709300,IDLE
10,1305961600,IDLE
15,1174366600,IDLE
20,1219062200,IDLE
25,1218750300,IDLE
30,1100282200,IDLE
35,1357199100,REQUEST
40,1507241100,REQUEST
45,1363324600,IDLE
50,1467728600,IDLE
55,1328080100,IDLE
60,1208764700,IDLE
65,1232104900,IDLE
70,1210291100,IDLE
75,1190812600,IDLE
80,1286466800,IDLE
85,1205905300,IDLE
90,1281177300,IDLE
95,1203339300,IDLE
100,1126321500,IDLE
105,1187868100,IDLE
110,1265167000,IDLE
115,1270055500,IDLE
120,1222976900,IDLE
125,1254553200,IDLE
130,1357156500,IDLE
135,1252748700,IDLE
140,1138788300,IDLE
145,1258557900,IDLE
150,1293127800,IDLE
155,1201260400,IDLE
160,1272944900,IDLE
165,1253468300,IDLE
170,1294723300,IDLE
175,1296102900,IDLE
180,1285804000,IDLE
185,1232087900,IDLE
190,1188150400,IDLE
195,1287386200,IDLE
200,1317073000,IDLE
205,1297360600,IDLE
210,1208108400,IDLE
215,1269824500,IDLE
220,1246947300,IDLE
225,1286524600,IDLE
230,1345183200,IDLE
235,1377700200,IDLE
240,2147873700,IDLE
245,1826836600,IDLE
250,1386468500,IDLE
