Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1176718300,IDLE
10,1162319300,IDLE
15,1325276200,IDLE
20,1159994700,IDLE
25,1160706500,IDLE
30,1290949300,IDLE
35,1040223100,REQUEST
40,1662194700,IDLE
45,1491358400,IDLE
50,1712428000,IDLE
55,1196824900,IDLE
60,1270837900,IDLE
65,1168680000,IDLE
70,1259461300,IDLE
75,1109504400,IDLE
80,1145856900,IDLE
85,1222250500,IDLE
90,1181589500,IDLE
95,1211489800,IDLE
100,1316628000,IDLE
105,1312160400,IDLE
110,1223282500,IDLE
115,1303899500,IDLE
120,1304468500,IDLE
125,1223823200,IDLE
130,1213653800,IDLE
135,1358973000,IDLE
140,1220324500,IDLE
145,1185639300,IDLE
150,1239693600,IDLE
155,1191654400,IDLE
160,1234506900,IDLE
165,1192077600,IDLE
170,1166676200,IDLE
175,1155244200,IDLE
180,1272719000,IDLE
185,1263969100,IDLE
190,1139964900,IDLE
195,1193253700,IDLE
200,1113891400,IDLE
205,1114007700,IDLE
210,1254072900,IDLE
215,1238012200,IDLE
220,1296987400,IDLE
225,1200343600,IDLE
230,1192013400,IDLE
235,1208034800,IDLE
240,1201129600,IDLE
245,1184045400,IDLE
250,1199401400,IDLE
