Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1131956500,IDLE
10,1202604500,IDLE
15,1197612000,IDLE
20,1270791100,IDLE
25,1182533500,IDLE
30,1286175200,IDLE
35,1406701700,REQUEST
40,1738139800,IDLE
45,1676281200,IDLE
50,1132900600,IDLE
55,1176255800,IDLE
60,1202366000,IDLE
65,1104347400,IDLE
70,1190438000,IDLE
75,1228113200,IDLE
80,1175900100,IDLE
85,1266975800,IDLE
90,1250596000,IDLE
95,1224258000,IDLE
100,1123127100,IDLE
105,1215398200,IDLE
110,1288719300,IDLE
115,1215476000,IDLE
120,1203230000,IDLE
125,1265288300,IDLE
130,1202458500,IDLE
135,1294058200,IDLE
140,1220089400,IDLE
145,1392965100,IDLE
150,1143748900,IDLE
155,1347164300,IDLE
160,2069769600,IDLE
165,1260194800,IDLE
170,1299707400,IDLE
175,1440195900,IDLE
180,1316101700,IDLE
185,1272080400,IDLE
190,1253510900,IDLE
195,1241082900,IDLE
200,1145946300,IDLE
205,1279746300,IDLE
210,1382895800,IDLE
215,1341813100,IDLE
220,1381597500,IDLE
225,1564583400,IDLE
230,1298000200,IDLE
235,1269840400,IDLE
240,1238102000,IDLE
245,1311090600,IDLE
250,1261668900,IDLE
