Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1275252300,IDLE
10,1299519300,IDLE
15,1253303100,IDLE
20,1224225400,IDLE
25,1268786000,IDLE
30,1139015500,IDLE
35,1544134800,REQUEST
40,1625784500,IDLE
45,1565622300,IDLE
50,1238808400,IDLE
55,1236458100,IDLE
60,1270502100,IDLE
65,1263157600,IDLE
70,1188124400,IDLE
75,1277531000,IDLE
80,1257551400,IDLE
85,1158930800,IDLE
90,1247114900,IDLE
95,1246504500,IDLE
100,1347616900,IDLE
105,1195802100,IDLE
110,1234987000,IDLE
115,1208295200,IDLE
120,1286518500,IDLE
125,1364882900,IDLE
130,1302064100,IDLE
135,1161426200,IDLE
140,1392440300,IDLE
145,1348078700,IDLE
150,1327596100,IDLE
155,1219381100,IDLE
160,1293649300,IDLE
165,1238836100,IDLE
170,1268324300,IDLE
175,1239790100,IDLE
180,1126091100,IDLE
185,1235521000,IDLE
190,1255328200,IDLE
195,1290152000,IDLE
200,1359408300,IDLE
205,1276328200,IDLE
210,1424781500,IDLE
215,1265379400,IDLE
220,1335194800,IDLE
225,1286934200,IDLE
230,1643482000,IDLE
235,1929234800,IDLE
240,1858208300,IDLE
245,1199188000,IDLE
250,727129400,IDLE
