Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1389329500,IDLE
10,1351351400,IDLE
15,1284097500,IDLE
20,1175372000,IDLE
25,1223099100,IDLE
30,1239811100,IDLE
35,1306056400,IDLE
40,1443798100,IDLE
45,1380840000,REQUEST
50,1634687700,REQUEST
55,1247593400,IDLE
60,1271822000,IDLE
65,1285598500,IDLE
70,1232791900,IDLE
75,1144847200,IDLE
80,1337364600,IDLE
85,1347651700,IDLE
90,1281741300,IDLE
95,1192029900,IDLE
100,1236484200,IDLE
105,1270595200,IDLE
110,1330984300,IDLE
115,1299401200,IDLE
120,1308102500,IDLE
125,1314067700,IDLE
130,1233819800,IDLE
135,1352509200,IDLE
140,1286630200,IDLE
145,1216304300,IDLE
150,1254887300,IDLE
155,1217736100,IDLE
160,1213235800,IDLE
165,1278893600,IDLE
170,1363240400,IDLE
175,1271086600,IDLE
180,1323866500,IDLE
185,1254911100,IDLE
190,1285519000,IDLE
195,1206169600,IDLE
200,1369898100,IDLE
205,1201138300,IDLE
210,1254351600,IDLE
215,1221832200,IDLE
220,1244335600,IDLE
225,1246543800,IDLE
230,1247383100,IDLE
235,1314560600,IDLE
240,1239764400,IDLE
245,1254383400,IDLE
250,1285694800,IDLE
