Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,945916700,IDLE
10,1338737400,IDLE
15,1234143000,IDLE
20,1185437400,IDLE
25,1187707800,IDLE
30,1171127800,IDLE
35,1147133200,REQUEST
40,1409559400,REQUEST
45,1271142300,IDLE
50,1441854200,IDLE
55,1075364100,IDLE
60,1285609500,IDLE
65,1150639800,IDLE
70,1127608300,IDLE
75,1193338800,IDLE
80,1226516600,IDLE
85,1227822000,IDLE
90,1147506800,IDLE
95,1199154800,IDLE
100,1204112700,IDLE
105,1220880300,IDLE
110,1277564100,IDLE
115,1157720200,IDLE
120,1184936100,IDLE
125,1180180700,IDLE
130,1197873000,IDLE
135,1185865200,IDLE
140,1266873700,IDLE
145,1123436100,IDLE
150,1224217700,IDLE
155,1156870800,IDLE
160,1225016200,IDLE
165,1232516000,IDLE
170,1251492400,IDLE
175,1336558500,IDLE
180,1241203600,IDLE
185,1317043600,IDLE
190,1163815300,IDLE
195,1274173200,IDLE
200,1109209100,IDLE
205,1251294400,IDLE
210,1140795300,IDLE
215,1213294800,IDLE
220,1245915700,IDLE
225,1143804000,IDLE
230,1250619400,IDLE
235,1217286100,IDLE
240,1174413800,IDLE
245,1181579500,IDLE
250,1161193500,IDLE
