Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1184227200,IDLE
10,1082440800,IDLE
15,1176334300,IDLE
20,1214693000,IDLE
25,1155208100,IDLE
30,1234609100,IDLE
35,1372368100,REQUEST
40,1677803900,IDLE
45,1730745100,IDLE
50,1140974600,IDLE
55,1288392500,IDLE
60,1194420400,IDLE
65,1250565200,IDLE
70,1185893100,IDLE
75,1173955500,IDLE
80,1172739900,IDLE
85,1270422100,IDLE
90,1312680000,IDLE
95,1225459200,IDLE
100,1077664500,IDLE
105,1187927200,IDLE
110,1271458400,IDLE
115,1270984100,IDLE
120,1202847000,IDLE
125,1308335500,IDLE
130,1238920800,IDLE
135,1300751700,IDLE
140,1202692400,IDLE
145,1192450600,IDLE
150,1174328000,IDLE
155,1323252200,IDLE
160,1873475700,IDLE
165,1235497400,IDLE
170,1398652500,IDLE
175,1420657800,IDLE
180,1195226100,IDLE
185,1256789800,IDLE
190,1317857200,IDLE
195,1199901100,IDLE
200,1265404300,IDLE
205,1239788800,IDLE
210,1477234000,IDLE
215,1327944700,IDLE
220,1393566400,IDLE
225,1485000400,IDLE
230,1332529200,IDLE
235,1159633500,IDLE
240,1359470900,IDLE
245,1299173500,IDLE
250,1166865200,IDLE
