Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1328183400,IDLE
10,1302947200,IDLE
15,1300585200,IDLE
20,1210327600,IDLE
25,1269857100,IDLE
30,1202853000,IDLE
35,1331441100,REQUEST
40,1634157000,IDLE
45,1694435100,IDLE
50,1326070000,IDLE
55,1440880000,IDLE
60,1239750300,IDLE
65,1257447200,IDLE
70,1247971100,IDLE
75,1178988100,IDLE
80,1239883700,IDLE
85,1271633000,IDLE
90,1248414200,IDLE
95,1328981300,IDLE
100,1239714200,IDLE
105,1253513400,IDLE
110,1222258400,IDLE
115,1389031700,IDLE
120,1240602800,IDLE
125,1344463800,IDLE
130,1377813700,IDLE
135,1409621400,IDLE
140,1142649700,IDLE
145,1323764100,IDLE
150,1169020800,IDLE
155,1326786000,IDLE
160,1303546500,IDLE
165,1441271600,IDLE
170,1564422100,IDLE
175,1228485200,IDLE
180,1332798800,IDLE
185,1268040700,IDLE
190,1221382600,IDLE
195,1270760100,IDLE
200,1208562500,IDLE
205,1192374800,IDLE
210,1251487800,IDLE
215,1253610300,IDLE
220,1282236800,IDLE
225,1208291000,IDLE
230,1188241300,IDLE
235,1220868600,IDLE
240,1189517400,IDLE
245,1175136300,IDLE
250,1149744600,IDLE
