Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1171942100,IDLE
10,1160088300,IDLE
15,1250116300,IDLE
20,1161493800,IDLE
25,1177117900,IDLE
30,1279331600,IDLE
35,1163722500,IDLE
40,1693611600,REQUEST
45,1617339500,REQUEST
50,1719516600,IDLE
55,1185058400,IDLE
60,1290000600,IDLE
65,1169942300,IDLE
70,1182721600,IDLE
75,1194503000,IDLE
80,1294634900,IDLE
85,1268041900,IDLE
90,1162819300,IDLE
95,1312219000,IDLE
100,1321146800,IDLE
105,1266724200,IDLE
110,1260372800,IDLE
115,1175418000,IDLE
120,1271802900,IDLE
125,1137610500,IDLE
130,1188105800,IDLE
135,1238753600,IDLE
140,1316851000,IDLE
145,1171881700,IDLE
150,1316303200,IDLE
155,1223552200,IDLE
160,1254108700,IDLE
165,1151452300,IDLE
170,1233087900,IDLE
175,1188045400,IDLE
180,1270161600,IDLE
185,1239107900,IDLE
190,1183353800,IDLE
195,1157614400,IDLE
200,1135899100,IDLE
205,1191265000,IDLE
210,1278143800,IDLE
215,1287726700,IDLE
220,1183473000,IDLE
225,1217347100,IDLE
230,1239788300,IDLE
235,1248997000,IDLE
240,1149132300,IDLE
245,1176960700,IDLE
250,1142678000,IDLE
