Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1185600900,IDLE
10,1254196300,IDLE
15,1233826600,IDLE
20,1262309000,IDLE
25,1239805600,IDLE
30,1176740400,IDLE
35,1228320700,IDLE
40,1610702600,IDLE
45,1416360200,REQUEST
50,1713230700,IDLE
55,1144572300,IDLE
60,1301876900,IDLE
65,1249715100,IDLE
70,1168484500,IDLE
75,1317290500,IDLE
80,1263822200,IDLE
85,1157098900,IDLE
90,1181771800,IDLE
95,1247012400,IDLE
100,1262797700,IDLE
105,1242220000,IDLE
110,1358329800,IDLE
115,1190823100,IDLE
120,1249133900,IDLE
125,1237502500,IDLE
130,1332016100,IDLE
135,1232558400,IDLE
140,1328275000,IDLE
145,1316434800,IDLE
150,1410342900,IDLE
155,1224307600,IDLE
160,1236504000,IDLE
165,1229625400,IDLE
170,1363839400,IDLE
175,1221407800,IDLE
180,1249515200,IDLE
185,1326711200,IDLE
190,1246462900,IDLE
195,1199422800,IDLE
200,1378606100,IDLE
205,1310760000,IDLE
210,1267965500,IDLE
215,1363585600,IDLE
220,1146449400,IDLE
225,1292233900,IDLE
230,1289228700,IDLE
235,1918366600,IDLE
240,2154854500,IDLE
245,1549843400,IDLE
250,1201958800,IDLE
