Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1137859900,IDLE
10,1115816800,IDLE
15,1220893600,IDLE
20,1196522700,IDLE
25,1115799200,IDLE
30,1166047800,IDLE
35,1329886500,IDLE
40,1697755200,IDLE
45,1607264700,REQUEST
50,1573407400,IDLE
55,1067431000,IDLE
60,1209587100,IDLE
65,1183292000,IDLE
70,1270959000,IDLE
75,1374431800,IDLE
80,1271768700,IDLE
85,1237137300,IDLE
90,1204681400,IDLE
95,1175542900,IDLE
100,1242223300,IDLE
105,1219154800,IDLE
110,1157137300,IDLE
115,1234587700,IDLE
120,1190667100,IDLE
125,1186475700,IDLE
130,1318750900,IDLE
135,1354722300,IDLE
140,1191631800,IDLE
145,1227985400,IDLE
150,1296648200,IDLE
155,1223452500,IDLE
160,1279622900,IDLE
165,1269850400,IDLE
170,1227427500,IDLE
175,1328281300,IDLE
180,1253822400,IDLE
185,1248818700,IDLE
190,1219916200,IDLE
195,1235326400,IDLE
200,1270083400,IDLE
205,1275119500,IDLE
210,1244116500,IDLE
215,1137323400,IDLE
220,1300550100,IDLE
225,1156359100,IDLE
230,1306431600,IDLE
235,1217041900,IDLE
240,1665105300,IDLE
245,1646784700,IDLE
250,1596861400,IDLE
