Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1182257800,IDLE
10,1274716300,IDLE
15,1146959500,IDLE
20,1172829900,IDLE
25,1135017600,IDLE
30,1143122400,IDLE
35,1267887700,REQUEST
40,1806049300,IDLE
45,1894331800,IDLE
50,1542417700,IDLE
55,1191296400,IDLE
60,1264412300,IDLE
65,1361681400,IDLE
70,1222719800,IDLE
75,1344592700,IDLE
80,1176970900,IDLE
85,1270469200,IDLE
90,1251260700,IDLE
95,1352922100,IDLE
100,1377509300,IDLE
105,1242857800,IDLE
110,1366348600,IDLE
115,1234351400,IDLE
120,1265608000,IDLE
125,1326086300,IDLE
130,1296229800,IDLE
135,1193015200,IDLE
140,1228921400,IDLE
145,1290494800,IDLE
150,1157174000,IDLE
155,1200355400,IDLE
160,1181596800,IDLE
165,1262123600,IDLE
170,1104568500,IDLE
175,1216331200,IDLE
180,1216044900,IDLE
185,1181533700,IDLE
190,1260768400,IDLE
195,1249101500,IDLE
200,1309165000,IDLE
205,1143535400,IDLE
210,1199053100,IDLE
215,1122772300,IDLE
220,1251853500,IDLE
225,1221040300,IDLE
230,1269352600,IDLE
235,1199993800,IDLE
240,1199914100,IDLE
245,1312664700,IDLE
250,759117100,IDLE
