Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1195325100,IDLE
10,1268832400,IDLE
15,1224968600,IDLE
20,1235156300,IDLE
25,1268184000,IDLE
30,1165784100,IDLE
35,1071110900,REQUEST
40,1550504100,REQUEST
45,1403718200,IDLE
50,1793453300,IDLE
55,1285276600,IDLE
60,1220114100,IDLE
65,1292930300,IDLE
70,1300493000,IDLE
75,1297342000,IDLE
80,1239787300,IDLE
85,1216972400,IDLE
90,1238959300,IDLE
95,1192330100,IDLE
100,1301871700,IDLE
105,1292997400,IDLE
110,1295777200,IDLE
115,1254304900,IDLE
120,1348273700,IDLE
125,1252454700,IDLE
130,1200973200,IDLE
135,1223635200,IDLE
140,1237163800,IDLE
145,1215443400,IDLE
150,1186516700,IDLE
155,1296307000,IDLE
160,1270645300,IDLE
165,1184308400,IDLE
170,1378631100,IDLE
175,1363841000,IDLE
180,1361320300,IDLE
185,1199347600,IDLE
190,1315371000,IDLE
195,1176387200,IDLE
200,1285337600,IDLE
205,1237610500,IDLE
210,1222229500,IDLE
215,1200322800,IDLE
220,1231014500,IDLE
225,1282361400,IDLE
230,1202916300,IDLE
235,1327308900,IDLE
240,1259572200,IDLE
245,1280121300,IDLE
250,1250721500,IDLE
