Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1193480700,IDLE
10,1244611300,IDLE
15,1219556600,IDLE
20,1196725300,IDLE
25,1302956400,IDLE
30,1131316200,IDLE
35,1457375600,REQUEST
40,1781640300,IDLE
45,1672895500,IDLE
50,1212223800,IDLE
55,1302689400,IDLE
60,1222970200,IDLE
65,1191439500,IDLE
70,1230652900,IDLE
75,1277798200,IDLE
80,1170118700,IDLE
85,1206949700,IDLE
90,1167042600,IDLE
95,1192283000,IDLE
100,1267636300,IDLE
105,1311908600,IDLE
110,1248910400,IDLE
115,1229929800,IDLE
120,1201712700,IDLE
125,1293955000,IDLE
130,1308664500,IDLE
135,1197239600,IDLE
140,1233379000,IDLE
145,1197301100,IDLE
150,1311183900,IDLE
155,1286152600,IDLE
160,1239080900,IDLE
165,1222386300,IDLE
170,1266562500,IDLE
175,1249448300,IDLE
180,1243200300,IDLE
185,1135307900,IDLE
190,1211681700,IDLE
195,1239151100,IDLE
200,1208013200,IDLE
205,1215994300,IDLE
210,1198522400,IDLE
215,1249520400,IDLE
220,1145958500,IDLE
225,1153354100,IDLE
230,1244468400,IDLE
235,1217621600,IDLE
240,1176611100,IDLE
245,1217691200,IDLE
250,1080223300,IDLE
