Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1235671800,IDLE
10,1259844500,IDLE
15,1159768800,IDLE
20,1257468100,IDLE
25,1191447100,IDLE
30,1228521000,IDLE
35,1357829100,IDLE
40,1576868000,REQUEST
45,1400496700,REQUEST
50,1614863000,IDLE
55,1189431400,IDLE
60,1255267700,IDLE
65,1206742100,IDLE
70,1234280100,IDLE
75,1219642700,IDLE
80,1187111600,IDLE
85,1254357000,IDLE
90,1255313000,IDLE
95,1207956600,IDLE
100,1254661100,IDLE
105,1291058400,IDLE
110,1235957200,IDLE
115,1347644200,IDLE
120,1285625900,IDLE
125,1158578800,IDLE
130,1294265800,IDLE
135,1294353600,IDLE
140,1334220900,IDLE
145,1365533400,IDLE
150,1341678800,IDLE
155,1257073700,IDLE
160,1362966800,IDLE
165,1248522200,IDLE
170,1316325500,IDLE
175,1267436400,IDLE
180,1195927500,IDLE
185,1249223100,IDLE
190,1256554800,IDLE
195,1243844700,IDLE
200,1269893000,IDLE
205,1236740500,IDLE
210,1254468800,IDLE
215,1397802600,IDLE
220,1218856600,IDLE
225,1238780600,IDLE
230,1271721700,IDLE
235,2050906200,IDLE
240,2060393200,IDLE
245,1768260300,IDLE
250,1207933100,IDLE
