Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1144506800,IDLE
10,1209329000,IDLE
15,1178239200,IDLE
20,1196331700,IDLE
25,1255295100,IDLE
30,1096954400,IDLE
35,1260076300,IDLE
40,1392491300,REQUEST
45,1645449600,REQUEST
50,1359707400,IDLE
55,1248825500,IDLE
60,1114829900,IDLE
65,1122780600,IDLE
70,1255316700,IDLE
75,1273418600,IDLE
80,1149847900,IDLE
85,1283511500,IDLE
90,1301376400,IDLE
95,1243434500,IDLE
100,1195068900,IDLE
105,1217063800,IDLE
110,1172196600,IDLE
115,1248733200,IDLE
120,1177787900,IDLE
125,1196352100,IDLE
130,1190857600,IDLE
135,1271296100,IDLE
140,1127774400,IDLE
145,1330329200,IDLE
150,1251420800,IDLE
155,1244248200,IDLE
160,1749867500,IDLE
165,1274921000,IDLE
170,1271396000,IDLE
175,1398204500,IDLE
180,1280162400,IDLE
185,1420606500,IDLE
190,1254401700,IDLE
195,1253779900,IDLE
200,1299241100,IDLE
205,1156930700,IDLE
210,1487976900,IDLE
215,1426222500,IDLE
220,1273955600,IDLE
225,1426041400,IDLE
230,1296140000,IDLE
235,1254660500,IDLE
240,1229767400,IDLE
245,1202340800,IDLE
250,1239044700,IDLE
