Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1201977400,IDLE
10,1170560300,IDLE
15,1250229400,IDLE
20,1269737200,IDLE
25,1207585400,IDLE
30,1174551000,IDLE
35,1445255700,REQUEST
40,1462628500,IDLE
45,1709985500,IDLE
50,1265499600,IDLE
55,1228649100,IDLE
60,1201829100,IDLE
65,1197218600,IDLE
70,1270543500,IDLE
75,1239566700,IDLE
80,1184904300,IDLE
85,1186917200,IDLE
90,1263020900,IDLE
95,1239837800,IDLE
100,1192228800,IDLE
105,1181767900,IDLE
110,1269909100,IDLE
115,1227530600,IDLE
120,1255509700,IDLE
125,1317042200,IDLE
130,1329320900,IDLE
135,1190732200,IDLE
140,1182320700,IDLE
145,1340525700,IDLE
150,1119256800,IDLE
155,1255263200,IDLE
160,1216608500,IDLE
165,1252227600,IDLE
170,1314563300,IDLE
175,1201717400,IDLE
180,1306031000,IDLE
185,1239143500,IDLE
190,1368481700,IDLE
195,1199241700,IDLE
200,1156255100,IDLE
205,1165466500,IDLE
210,1264154500,IDLE
215,1316748000,IDLE
220,1220252100,IDLE
225,1323423300,IDLE
230,1388346300,IDLE
235,1522451200,IDLE
240,1877251300,IDLE
245,1404470700,IDLE
250,1458946700,IDLE
