Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1039301600,IDLE
10,1189362200,IDLE
15,1320268400,IDLE
20,1235795000,IDLE
25,1235560800,IDLE
30,1219978100,IDLE
35,1217346600,IDLE
40,1486721400,REQUEST
45,1674474700,REQUEST
50,1268634000,IDLE
55,1145630600,IDLE
60,1234084100,IDLE
65,1224275200,IDLE
70,1235142100,IDLE
75,1196881000,IDLE
80,1233039000,IDLE
85,1149757100,IDLE
90,1180998700,IDLE
95,1203269700,IDLE
100,1232341300,IDLE
105,1223596100,IDLE
110,1225766200,IDLE
115,1238705600,IDLE
120,1191221300,IDLE
125,1215779900,IDLE
130,1208869600,IDLE
135,1238498100,IDLE
140,1176080700,IDLE
145,1312362300,IDLE
150,1229335900,IDLE
155,1246995500,IDLE
160,1634831500,IDLE
165,1270845000,IDLE
170,1254965200,IDLE
175,1336326900,IDLE
180,1288106000,IDLE
185,1281808700,IDLE
190,1202967100,IDLE
195,1365875400,IDLE
200,1300875000,IDLE
205,1159598100,IDLE
210,1355327200,IDLE
215,1430596300,IDLE
220,1408865200,IDLE
225,1511521100,IDLE
230,1391941900,IDLE
235,1308454300,IDLE
240,1300810700,IDLE
245,1252124300,IDLE
250,1267824200,IDLE
