Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1307840000,IDLE
10,1191536300,IDLE
15,1211513700,IDLE
20,1253326200,IDLE
25,1219709600,IDLE
30,1204339200,IDLE
35,1373797300,IDLE
40,1606305300,REQUEST
45,1780094000,REQUEST
50,1211162500,IDLE
55,1135596300,IDLE
60,1133814300,IDLE
65,1270462000,IDLE
70,1176458600,IDLE
75,1183777800,IDLE
80,1188536400,IDLE
85,1236323700,IDLE
90,1115214700,IDLE
95,1293850600,IDLE
100,1360237300,IDLE
105,1225467800,IDLE
110,1192463000,IDLE
115,1169197400,IDLE
120,1207728500,IDLE
125,1174000700,IDLE
130,1255113100,IDLE
135,1172068100,IDLE
140,1125247600,IDLE
145,1191531400,IDLE
150,1185310500,IDLE
155,1183379700,IDLE
160,1223258600,IDLE
165,1193457500,IDLE
170,1243406300,IDLE
175,1161418900,IDLE
180,1181724600,IDLE
185,1274883700,IDLE
190,1283305300,IDLE
195,1267241900,IDLE
200,1217310800,IDLE
205,1263379200,IDLE
210,1195135800,IDLE
215,1273951900,IDLE
220,1229882300,IDLE
225,1312695500,IDLE
230,1232088800,IDLE
235,1289126800,IDLE
240,1177115500,IDLE
245,1239829200,IDLE
250,983075800,IDLE
