Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1130503200,IDLE
10,1147551300,IDLE
15,1202987300,IDLE
20,1192223000,IDLE
25,1250351500,IDLE
30,1128007900,IDLE
35,1268587700,IDLE
40,1686210100,IDLE
45,1500209200,REQUEST
50,1605897800,IDLE
55,1195895800,IDLE
60,1237667400,IDLE
65,1294766300,IDLE
70,1300841400,IDLE
75,1154821800,IDLE
80,1160262900,IDLE
85,1300827600,IDLE
90,1239796400,IDLE
95,1264306200,IDLE
100,1315458400,IDLE
105,1254047200,IDLE
110,1230098100,IDLE
115,1317213300,IDLE
120,1192345000,IDLE
125,1207954000,IDLE
130,1182298500,IDLE
135,1253016700,IDLE
140,1316087400,IDLE
145,1207677500,IDLE
150,1234102100,IDLE
155,1276694200,IDLE
160,1362353400,IDLE
165,1166319800,IDLE
170,1130465100,IDLE
175,1134559500,IDLE
180,1241170900,IDLE
185,1223162200,IDLE
190,1193875700,IDLE
195,1152072900,IDLE
200,1141251000,IDLE
205,1213359100,IDLE
210,1145739700,IDLE
215,1237706500,IDLE
220,1203668400,IDLE
225,1181268800,IDLE
230,1239144800,IDLE
235,1115065700,IDLE
240,1211867300,IDLE
245,1161183400,IDLE
250,1209561200,IDLE
