Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1156486900,IDLE
10,1174268400,IDLE
15,1139247600,IDLE
20,1168161800,IDLE
25,1152658800,IDLE
30,1221312400,IDLE
35,1180277000,REQUEST
40,1683680800,REQUEST
45,1243903100,IDLE
50,1493291300,IDLE
55,1169397400,IDLE
60,1231457900,IDLE
65,1254440800,IDLE
70,1260940300,IDLE
75,1077823500,IDLE
80,1177083300,IDLE
85,1192533000,IDLE
90,1136968800,IDLE
95,1183438200,IDLE
100,1161273500,IDLE
105,1269061800,IDLE
110,1225542800,IDLE
115,1241895800,IDLE
120,1151729000,IDLE
125,1110170200,IDLE
130,1204772200,IDLE
135,1263335600,IDLE
140,1232325900,IDLE
145,1175497400,IDLE
150,1225877200,IDLE
155,1244084600,IDLE
160,1254480400,IDLE
165,1219672800,IDLE
170,1261876200,IDLE
175,1295191000,IDLE
180,1271239900,IDLE
185,1316374800,IDLE
190,1215999500,IDLE
195,1203367100,IDLE
200,1275688800,IDLE
205,1188716700,IDLE
210,1212343600,IDLE
215,1170450300,IDLE
220,1202226700,IDLE
225,1239793000,IDLE
230,1224286500,IDLE
235,1232265700,IDLE
240,1354709400,IDLE
245,1184731900,IDLE
250,1264065100,IDLE
