Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1083534500,IDLE
10,1260716200,IDLE
15,1151965300,IDLE
20,1238734700,IDLE
25,1236404000,IDLE
30,1146665500,IDLE
35,1191147100,REQUEST
40,1641395200,IDLE
45,1247737900,IDLE
50,1358650200,IDLE
55,1142943200,IDLE
60,1238488000,IDLE
65,1199092500,IDLE
70,1153741400,IDLE
75,1227865100,IDLE
80,1146011000,IDLE
85,1171758100,IDLE
90,1225084700,IDLE
95,1301957800,IDLE
100,1217469700,IDLE
105,1218821100,IDLE
110,1203223600,IDLE
115,1254495000,IDLE
120,1181316000,IDLE
125,1182939400,IDLE
130,1157422400,IDLE
135,1214653300,IDLE
140,1189404600,IDLE
145,1263730800,IDLE
150,1224257800,IDLE
155,1176873600,IDLE
160,1403936200,IDLE
165,1378417800,IDLE
170,1255997000,IDLE
175,1330511400,IDLE
180,1289018500,IDLE
185,1331775800,IDLE
190,1302124400,IDLE
195,1284667100,IDLE
200,1223170600,IDLE
205,1178625400,IDLE
210,1329521200,IDLE
215,1359404300,IDLE
220,1534909600,IDLE
225,1396927200,IDLE
230,1533519100,IDLE
235,1262736000,IDLE
240,1202358700,IDLE
245,1239839700,IDLE
250,1222520100,IDLE
