Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1228293800,IDLE
10,1204761900,IDLE
15,1223517200,IDLE
20,1177669900,IDLE
25,1279867000,IDLE
30,1215243500,IDLE
35,1562609800,REQUEST
40,1596994500,IDLE
45,1684745100,IDLE
50,1315927900,IDLE
55,1237340100,IDLE
60,1174486100,IDLE
65,1157280400,IDLE
70,1183805800,IDLE
75,1149508500,IDLE
80,1180354600,IDLE
85,1250645600,IDLE
90,1254419000,IDLE
95,1138968100,IDLE
100,1258525600,IDLE
105,1144124500,IDLE
110,1127195600,IDLE
115,1248344300,IDLE
120,1229394200,IDLE
125,1222053400,IDLE
130,1219157400,IDLE
135,1238459400,IDLE
140,1236866000,IDLE
145,1301202700,IDLE
150,1353844700,IDLE
155,1239307400,IDLE
160,1298215400,IDLE
165,1239886500,IDLE
170,1285206500,IDLE
175,1300965100,IDLE
180,1220732500,IDLE
185,1232690500,IDLE
190,1294253500,IDLE
195,1191992600,IDLE
200,1202035700,IDLE
205,1280371900,IDLE
210,1184371100,IDLE
215,1409584100,IDLE
220,1286557700,IDLE
225,1198260200,IDLE
230,1242545800,IDLE
235,1741352000,IDLE
240,1636484600,IDLE
245,1534234300,IDLE
250,1195783000,IDLE
