Thread_Iteration,Time_Elapsed,MASTER_REQUEST
5,1164523000,IDLE
10,1097612500,IDLE
15,1179754900,IDLE
20,1059127300,IDLE
25,1212883600,IDLE
30,1170507300,IDLE
35,1297067400,IDLE
40,1870878800,REQUEST
45,1713259700,REQUEST
50,1292717300,IDLE
55,1196838200,IDLE
60,1209453800,IDLE
65,1234943500,IDLE
70,1140493800,IDLE
75,1152350200,IDLE
80,1238573200,IDLE
85,1268343300,IDLE
90,1142740000,IDLE
95,1181817300,IDLE
100,1055772900,IDLE
105,1145776800,IDLE
110,1223256000,IDLE
115,1254006000,IDLE
120,1191528100,IDLE
125,1319386100,IDLE
130,1200558000,IDLE
135,1242553900,IDLE
140,1190766900,IDLE
145,1415163000,IDLE
150,1268636000,IDLE
155,1409399700,IDLE
160,1756195900,IDLE
165,1165044600,IDLE
170,1327955700,IDLE
175,1425752900,IDLE
180,1305915100,IDLE
185,1309603100,IDLE
190,1239378800,IDLE
195,1236098700,IDLE
200,1300945800,IDLE
205,1245001300,IDLE
210,1500495200,IDLE
215,1463958100,IDLE
220,1537723800,IDLE
225,1379273100,IDLE
230,1238203200,IDLE
235,1331364300,IDLE
240,1301123100,IDLE
245,1269713700,IDLE
250,1033257500,IDLE
